"Unique ID","Indicator ID","Name","Measure","Measure Info","Geo Type Name","Geo Join ID","Geo Place Name","Time Period","Start_Date","Data Value","Message"
"979194","1,427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF34","104","Pelham - Throgs Neck","2024","01/01/2024","5.83457178",
"980097","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","304","Upper West Side","2024","01/01/2024","18.2887298",
"980098","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","303","East Harlem","2024","01/01/2024","16.18484858",
"980099","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","302","Central Harlem - Morningside Heights","2024","01/01/2024","16.52182254",
"980100","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","301","Washington Heights","2024","01/01/2024","16.26455212",
"980101","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","211","Williamsburg - Bushwick","2024","01/01/2024","15.82250175",
"980102","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","210","Coney Island - Sheepshead Bay","2024","01/01/2024","12.24254166",
"980103","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","209","Bensonhurst - Bay Ridge","2024","01/01/2024","14.07524578",
"980104","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","208","Canarsie - Flatlands","2024","01/01/2024","12.39451621",
"980105","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","207","East Flatbush - Flatbush","2024","01/01/2024","14.38788376",
"980106","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","206","Borough Park","2024","01/01/2024","14.45318989",
"980107","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","205","Sunset Park","2024","01/01/2024","16.09619041",
"980108","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","204","East New York","2024","01/01/2024","14.57567849",
"980109","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","203","Bedford Stuyvesant - Crown Heights","2024","01/01/2024","15.51359309",
"980110","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","202","Downtown - Heights - Slope","2024","01/01/2024","17.10405267",
"980111","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","201","Greenpoint","2024","01/01/2024","16.90893702",
"980112","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","104","Pelham - Throgs Neck","2024","01/01/2024","14.42951043",
"980113","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","103","Fordham - Bronx Pk","2024","01/01/2024","14.14232526",
"980114","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","102","Northeast Bronx","2024","01/01/2024","13.98252811",
"980115","1,431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF34","101","Kingsbridge - Riverdale","2024","01/01/2024","13.50595126",
"980116","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","403","Jackson Heights (CD3)","2024","01/01/2024","20.58357781",
"980117","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","404","Elmhurst and Corona (CD4)","2024","01/01/2024","21.35168929",
"980118","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","2024","01/01/2024","20.92273855",
"980119","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","406","Rego Park and Forest Hills (CD6)","2024","01/01/2024","20.79967544",
"980120","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","407","Flushing and Whitestone (CD7)","2024","01/01/2024","19.59835762",
"980121","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","408","Hillcrest and Fresh Meadows (CD8)","2024","01/01/2024","20.01589468",
"980122","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","409","Kew Gardens and Woodhaven (CD9)","2024","01/01/2024","20.62176821",
"980123","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","410","South Ozone Park and Howard Beach (CD10)","2024","01/01/2024","19.39511418",
"980124","1,433","Nitrogen dioxide (NO2)","Winter mean","ppb","CD","411","Bayside and Little Neck (CD11)","2024","01/01/2024","19.45877873",
"980554","1,435","Ozone (O3)","Summer mean","ppb","CD","503","Tottenville and Great Kills (CD3)","2024","01/01/2024","34.20650959",
"980553","1,435","Ozone (O3)","Summer mean","ppb","CD","502","South Beach and Willowbrook (CD2)","2024","01/01/2024","33.43066386",
"980552","1,435","Ozone (O3)","Summer mean","ppb","CD","501","St. George and Stapleton (CD1)","2024","01/01/2024","32.30501081",
"980551","1,435","Ozone (O3)","Summer mean","ppb","CD","414","Rockaway and Broad Channel (CD14)","2024","01/01/2024","38.44312178",
"980550","1,435","Ozone (O3)","Summer mean","ppb","CD","413","Queens Village (CD13)","2024","01/01/2024","35.87566759",
"980549","1,435","Ozone (O3)","Summer mean","ppb","CD","412","Jamaica and Hollis (CD12)","2024","01/01/2024","35.49967545",
"980548","1,435","Ozone (O3)","Summer mean","ppb","CD","411","Bayside and Little Neck (CD11)","2024","01/01/2024","34.07478247",
"980547","1,435","Ozone (O3)","Summer mean","ppb","CD","410","South Ozone Park and Howard Beach (CD10)","2024","01/01/2024","36.06666739",
"980546","1,435","Ozone (O3)","Summer mean","ppb","CD","409","Kew Gardens and Woodhaven (CD9)","2024","01/01/2024","34.8744291",
"980545","1,435","Ozone (O3)","Summer mean","ppb","CD","408","Hillcrest and Fresh Meadows (CD8)","2024","01/01/2024","33.98658579",
"980544","1,435","Ozone (O3)","Summer mean","ppb","CD","407","Flushing and Whitestone (CD7)","2024","01/01/2024","34.52479951",
"980543","1,435","Ozone (O3)","Summer mean","ppb","CD","406","Rego Park and Forest Hills (CD6)","2024","01/01/2024","33.69067818",
"980542","1,435","Ozone (O3)","Summer mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","2024","01/01/2024","34.56599735",
"980541","1,435","Ozone (O3)","Summer mean","ppb","CD","404","Elmhurst and Corona (CD4)","2024","01/01/2024","33.90433942",
"980540","1,435","Ozone (O3)","Summer mean","ppb","CD","403","Jackson Heights (CD3)","2024","01/01/2024","33.99961094",
"980539","1,435","Ozone (O3)","Summer mean","ppb","CD","402","Woodside and Sunnyside (CD2)","2024","01/01/2024","33.72692032",
"980538","1,435","Ozone (O3)","Summer mean","ppb","CD","401","Long Island City and Astoria (CD1)","2024","01/01/2024","34.06038425",
"980537","1,435","Ozone (O3)","Summer mean","ppb","CD","318","Flatlands and Canarsie (CD18)","2024","01/01/2024","36.19027256",
"980536","1,435","Ozone (O3)","Summer mean","ppb","CD","317","East Flatbush (CD17)","2024","01/01/2024","34.80454314",
"980535","1,435","Ozone (O3)","Summer mean","ppb","CD","316","Brownsville (CD16)","2024","01/01/2024","34.39508323",
"980534","1,435","Ozone (O3)","Summer mean","ppb","CD","315","Sheepshead Bay (CD15)","2024","01/01/2024","35.80895359",
"980533","1,435","Ozone (O3)","Summer mean","ppb","CD","314","Flatbush and Midwood (CD14)","2024","01/01/2024","34.07473191",
"980532","1,435","Ozone (O3)","Summer mean","ppb","CD","313","Coney Island (CD13)","2024","01/01/2024","36.08947586",
"980531","1,435","Ozone (O3)","Summer mean","ppb","CD","312","Borough Park (CD12)","2024","01/01/2024","33.84084666",
"980530","1,435","Ozone (O3)","Summer mean","ppb","CD","311","Bensonhurst (CD11)","2024","01/01/2024","34.8146924",
"980529","1,435","Ozone (O3)","Summer mean","ppb","CD","310","Bay Ridge and Dyker Heights (CD10)","2024","01/01/2024","32.70528749",
"980528","1,435","Ozone (O3)","Summer mean","ppb","CD","309","South Crown Heights and Lefferts Gardens (CD9)","2024","01/01/2024","34.05633843",
"980527","1,435","Ozone (O3)","Summer mean","ppb","CD","308","Crown Heights and Prospect Heights (CD8)","2024","01/01/2024","33.20748232",
"980526","1,435","Ozone (O3)","Summer mean","ppb","CD","307","Sunset Park (CD7)","2024","01/01/2024","32.61248936",
"980525","1,435","Ozone (O3)","Summer mean","ppb","CD","306","Park Slope and Carroll Gardens (CD6)","2024","01/01/2024","32.51458174",
"980524","1,435","Ozone (O3)","Summer mean","ppb","CD","305","East New York and Starrett City (CD5)","2024","01/01/2024","35.08552659",
"980523","1,435","Ozone (O3)","Summer mean","ppb","CD","304","Bushwick (CD4)","2024","01/01/2024","34.1891424",
"980522","1,435","Ozone (O3)","Summer mean","ppb","CD","303","Bedford Stuyvesant (CD3)","2024","01/01/2024","33.15663983",
"980521","1,435","Ozone (O3)","Summer mean","ppb","CD","302","Fort Greene and Brooklyn Heights (CD2)","2024","01/01/2024","31.24846561",
"980520","1,435","Ozone (O3)","Summer mean","ppb","CD","301","Greenpoint and Williamsburg (CD1)","2024","01/01/2024","33.16267437",
"980519","1,435","Ozone (O3)","Summer mean","ppb","CD","212","Williamsbridge and Baychester (CD12)","2024","01/01/2024","33.78035472",
"980518","1,435","Ozone (O3)","Summer mean","ppb","CD","211","Morris Park and Bronxdale (CD11)","2024","01/01/2024","34.27800156",
"980517","1,435","Ozone (O3)","Summer mean","ppb","CD","210","Throgs Neck and Co-op City (CD10)","2024","01/01/2024","34.5413638",
"980516","1,435","Ozone (O3)","Summer mean","ppb","CD","209","Parkchester and Soundview (CD9)","2024","01/01/2024","33.72837192",
"980515","1,435","Ozone (O3)","Summer mean","ppb","CD","208","Riverdale and Fieldston (CD8)","2024","01/01/2024","32.53121807",
"980514","1,435","Ozone (O3)","Summer mean","ppb","CD","207","Kingsbridge Heights and Bedford (CD7)","2024","01/01/2024","33.31107745",
"980513","1,435","Ozone (O3)","Summer mean","ppb","CD","206","Belmont and East Tremont (CD6)","2024","01/01/2024","33.19831395",
"980512","1,435","Ozone (O3)","Summer mean","ppb","CD","205","Fordham and University Heights (CD5)","2024","01/01/2024","32.65661558",
"980511","1,435","Ozone (O3)","Summer mean","ppb","CD","204","Highbridge and Concourse (CD4)","2024","01/01/2024","32.44613579",
"980510","1,435","Ozone (O3)","Summer mean","ppb","CD","203","Morrisania and Crotona (CD3)","2024","01/01/2024","33.05631361",
"980509","1,435","Ozone (O3)","Summer mean","ppb","CD","202","Hunts Point and Longwood (CD2)","2024","01/01/2024","34.51590567",
"980508","1,435","Ozone (O3)","Summer mean","ppb","CD","201","Mott Haven and Melrose (CD1)","2024","01/01/2024","33.12405618",
"980507","1,435","Ozone (O3)","Summer mean","ppb","CD","112","Washington Heights and Inwood (CD12)","2024","01/01/2024","31.21751977",
"980506","1,435","Ozone (O3)","Summer mean","ppb","CD","111","East Harlem (CD11)","2024","01/01/2024","32.11782606",
"980505","1,435","Ozone (O3)","Summer mean","ppb","CD","110","Central Harlem (CD10)","2024","01/01/2024","31.96820516",
"980504","1,435","Ozone (O3)","Summer mean","ppb","CD","109","Morningside Heights and Hamilton Heights (CD9)","2024","01/01/2024","31.43760062",
"980503","1,435","Ozone (O3)","Summer mean","ppb","CD","108","Upper East Side (CD8)","2024","01/01/2024","30.77582934",
"980502","1,435","Ozone (O3)","Summer mean","ppb","CD","107","Upper West Side (CD7)","2024","01/01/2024","30.17137179",
"980501","1,435","Ozone (O3)","Summer mean","ppb","CD","106","Stuyvesant Town and Turtle Bay (CD6)","2024","01/01/2024","29.42423981",
"980500","1,435","Ozone (O3)","Summer mean","ppb","CD","105","Midtown (CD5)","2024","01/01/2024","27.13560264",
"980499","1,435","Ozone (O3)","Summer mean","ppb","CD","104","Clinton and Chelsea (CD4)","2024","01/01/2024","29.54698239",
"980498","1,435","Ozone (O3)","Summer mean","ppb","CD","103","Lower East Side and Chinatown (CD3)","2024","01/01/2024","31.19203745",
"980497","1,435","Ozone (O3)","Summer mean","ppb","CD","102","Greenwich Village and Soho (CD2)","2024","01/01/2024","30.12369325",
"980496","1,435","Ozone (O3)","Summer mean","ppb","CD","101","Financial District (CD1)","2024","01/01/2024","29.57142138",
"980495","1,435","Ozone (O3)","Summer mean","ppb","Citywide","1","New York City","2024","01/01/2024","33.98700067",
"980494","1,435","Ozone (O3)","Summer mean","ppb","UHF34","105106107","South Bronx","2024","01/01/2024","33.35361336",
"980493","1,435","Ozone (O3)","Summer mean","ppb","Borough","1","Bronx","2024","01/01/2024","33.68310507",
"980492","1,435","Ozone (O3)","Summer mean","ppb","Borough","2","Brooklyn","2024","01/01/2024","34.21422558",
"980491","1,435","Ozone (O3)","Summer mean","ppb","Borough","3","Manhattan","2024","01/01/2024","30.4729769",
"980490","1,435","Ozone (O3)","Summer mean","ppb","Borough","4","Queens","2024","01/01/2024","34.97566335",
"980489","1,435","Ozone (O3)","Summer mean","ppb","Borough","5","Staten Island","2024","01/01/2024","33.44888288",
"980488","1,435","Ozone (O3)","Summer mean","ppb","UHF42","101","Kingsbridge - Riverdale","2024","01/01/2024","32.33001788",
"980487","1,435","Ozone (O3)","Summer mean","ppb","UHF42","102","Northeast Bronx","2024","01/01/2024","34.00544567",
"980486","1,435","Ozone (O3)","Summer mean","ppb","UHF42","103","Fordham - Bronx Pk","2024","01/01/2024","33.49945027",
"980485","1,435","Ozone (O3)","Summer mean","ppb","UHF42","104","Pelham - Throgs Neck","2024","01/01/2024","34.23931031",
"980484","1,435","Ozone (O3)","Summer mean","ppb","UHF42","105","Crotona - Tremont","2024","01/01/2024","32.73114411",
"980483","1,435","Ozone (O3)","Summer mean","ppb","UHF42","106","High Bridge - Morrisania","2024","01/01/2024","32.66951104",
"980482","1,435","Ozone (O3)","Summer mean","ppb","UHF42","107","Hunts Point - Mott Haven","2024","01/01/2024","34.26261751",
"980481","1,435","Ozone (O3)","Summer mean","ppb","UHF42","201","Greenpoint","2024","01/01/2024","32.9765732",
"980480","1,435","Ozone (O3)","Summer mean","ppb","UHF42","202","Downtown - Heights - Slope","2024","01/01/2024","31.93205725",
"980479","1,435","Ozone (O3)","Summer mean","ppb","UHF42","203","Bedford Stuyvesant - Crown Heights","2024","01/01/2024","33.65579212",
